split_mode,primary,comparator,seed,metric,improvement_definition,bootstrap_replicates,mean_improvement,std_improvement,ci_lower_2.5,ci_upper_97.5
official,tim_sfsa,logistic,2345,integrated_auc,primary_minus_comparator,1000,0.007397412483540955,0.008986811573943257,-0.007183540231621415,0.027751841777255152
official,tim_sfsa,logistic,2345,integrated_brier_score,comparator_minus_primary,1000,0.0017958537730757222,0.0015261220026993078,-0.0010142917896251282,0.004885045743314433
official,tim_sfsa,logistic,2345,24h_tss,primary_minus_comparator,1000,0.07451975502280812,0.04603356549591297,0.012271587699170451,0.19301513722413938
official,tim_sfsa,logistic,2345,24h_hss2,primary_minus_comparator,1000,0.0048599864538074605,0.026014167403176573,-0.03879116186379339,0.06817828735672522
official,tim_sfsa,logistic,2345,24h_bss,primary_minus_comparator,1000,-0.008640673760932955,0.030086888321856846,-0.06260456442931786,0.052476230923719884
official,tim_sfsa,logistic,2345,48h_tss,primary_minus_comparator,1000,0.07890842550222774,0.040872016073729964,0.017773841792939945,0.17820984788216362
official,tim_sfsa,logistic,2345,48h_hss2,primary_minus_comparator,1000,-0.02487218559986548,0.02791285933137694,-0.07783488400245547,0.034231756663812785
official,tim_sfsa,logistic,2345,48h_bss,primary_minus_comparator,1000,0.011683583965074277,0.02636638234197119,-0.03206235855422702,0.06933282090923643
official,tim_sfsa,logistic,2346,harrell_c_index,primary_minus_comparator,1000,0.015768973110116033,0.009713006940706544,-0.000773658442990224,0.03707356478013552
official,tim_sfsa,logistic,2346,uno_c_index,primary_minus_comparator,1000,0.015203722234854146,0.03189583884096995,-0.04871226596892933,0.07821991183720936
official,tim_sfsa,logistic,2346,integrated_auc,primary_minus_comparator,1000,0.011223581622716179,0.00879262610869729,-0.003923945835668047,0.031176340122389325
official,tim_sfsa,logistic,2346,integrated_brier_score,comparator_minus_primary,1000,0.002090774960160131,0.0015714815114314475,-0.0010507013428898606,0.005141616432515228
official,tim_sfsa,logistic,2346,24h_tss,primary_minus_comparator,1000,0.08295047403805271,0.0492706380597167,0.012280462908614188,0.20992490556223725
official,tim_sfsa,logistic,2346,24h_hss2,primary_minus_comparator,1000,-0.014183051055660846,0.029771127335484645,-0.06938467012551078,0.049193466189492926
official,tim_sfsa,logistic,2346,24h_bss,primary_minus_comparator,1000,0.010605999526935427,0.03329353457833081,-0.04864941958889346,0.07919566428556661
official,tim_sfsa,logistic,2346,48h_tss,primary_minus_comparator,1000,0.08195175266450058,0.041263890844533364,0.017199795037108202,0.17573157366547948
official,tim_sfsa,logistic,2346,48h_hss2,primary_minus_comparator,1000,-0.059735404284612,0.0334144630302212,-0.13092013857209225,0.0006322053632884716
official,tim_sfsa,logistic,2346,48h_bss,primary_minus_comparator,1000,0.020800293854244922,0.02721112816419837,-0.028201936076255384,0.07793288010001168
official,tim_sfsa,logistic,2347,harrell_c_index,primary_minus_comparator,1000,0.013342944090396283,0.009464216765123695,-0.0021633126960772546,0.03461994850800349
official,tim_sfsa,logistic,2347,uno_c_index,primary_minus_comparator,1000,0.014545317692121626,0.031200348544778447,-0.051125909242450966,0.07406755854355905
official,tim_sfsa,logistic,2347,integrated_auc,primary_minus_comparator,1000,0.008524784947343846,0.008927074576372188,-0.005918074348654081,0.027650301726755186
official,tim_sfsa,logistic,2347,integrated_brier_score,comparator_minus_primary,1000,0.0017281349036715194,0.0015537942560345315,-0.0013355317925475155,0.004815142869333531
