split_mode,experiment,feature_count,metric,mean,std,seeds
chronological,logistic,24,48h_threshold,0.13043557813023843,0.0,3
chronological,logistic,24,48h_tn_ipcw,614.630329921964,0.0,3
chronological,logistic,24,48h_tp_ipcw,31.68516142832763,0.0,3
chronological,logistic,24,48h_tss,0.9150285364296096,0.0,3
chronological,logistic,24,72h_alert_fraction,0.08779443254817987,0.0,3
chronological,logistic,24,72h_auc,0.9889109319182006,0.0,3
chronological,logistic,24,72h_average_precision,0.9430115974921748,0.0,3
chronological,logistic,24,72h_brier,0.010998381338563666,0.0,3
chronological,logistic,24,72h_bss,0.7836386382447351,0.0,3
chronological,logistic,24,72h_calibration_intercept,-0.7520000652545966,0.0,3
chronological,logistic,24,72h_calibration_slope,1.8231884327259547,0.0,3
chronological,logistic,24,72h_ece,0.034572383390916166,0.0,3
chronological,logistic,24,72h_f1,0.7519561389478605,0.0,3
chronological,logistic,24,72h_far,0.37046866663789424,0.0,3
chronological,logistic,24,72h_fn_ipcw,2.185076869257207,0.0,3
chronological,logistic,24,72h_fp_ipcw,18.0483891141322,0.0,3
chronological,logistic,24,72h_hss2,0.736965995859321,0.0,3
chronological,logistic,24,72h_km_reference_brier,0.05083338933226156,0.0,3
chronological,logistic,24,72h_known_count,467.0,0.0,3
chronological,logistic,24,72h_observed_survival_km,0.9525778467901921,0.0,3
chronological,logistic,24,72h_precision,0.6295313333621058,0.0,3
chronological,logistic,24,72h_predicted_survival_mean,0.9233578424861494,0.0,3
chronological,logistic,24,72h_recall,0.9334921261168261,0.0,3
chronological,logistic,24,72h_threshold,0.20944832320202278,0.0,3
chronological,logistic,24,72h_tn_ipcw,637.7097486993379,0.0,3
chronological,logistic,24,72h_tp_ipcw,30.669331814674894,0.0,3
chronological,logistic,24,72h_tss,0.9059691903370095,0.0,3
chronological,logistic,24,event_censored_c_index,0.9726321373456791,0.0,3
chronological,logistic,24,event_censored_fraction,0.9672092914781473,0.0,3
chronological,logistic,24,event_censored_pairs,20736.0,0.0,3
chronological,logistic,24,event_event_c_index,0.7439544807965861,0.0,3
chronological,logistic,24,event_event_fraction,0.0327907085218527,0.0,3
chronological,logistic,24,event_event_pairs,703.0,0.0,3
chronological,logistic,24,harrell_c_index,0.9651336349643174,0.0,3
chronological,logistic,24,integrated_auc,0.9890257152715064,0.0,3
chronological,logistic,24,integrated_brier_score,0.013293995507062124,0.0,3
chronological,logistic,24,uno_c_index,0.8094923017802743,0.0,3
chronological,lstm_classifier,24,12h_alert_fraction,0.1305732484076433,0.06011014677763335,3
